Time,C.MeteoST_bme280,C.Gas_boiler_supply,C.Kitchen_temp,C.MeteoST_ds18b20
2019-01-15T14:30:00+02:00,-0.3,38.5,19.7,-0.8
2019-01-15T14:35:00+02:00,-0.4,38.8,19.7,-0.8
2019-01-15T14:40:00+02:00,-0.5,34.1,19.7,-0.7
2019-01-15T14:45:00+02:00,-0.5,38.5,19.6,-0.7
2019-01-15T14:50:00+02:00,-0.5,38.6,19.6,-1.6
2019-01-15T14:55:00+02:00,-0.5,35.9,19.6,-1.3
2019-01-15T15:00:00+02:00,-0.6,39.1,19.7,-1
2019-01-15T15:05:00+02:00,-0.6,38.4,19.7,-0.9
2019-01-15T15:10:00+02:00,-0.7,37.9,19,-0.9
2019-01-15T15:15:00+02:00,-0.7,38.2,18.1,-0.9
2019-01-15T15:20:00+02:00,-0.7,38,18.6,-0.9
2019-01-15T15:25:00+02:00,-0.7,37.4,18.7,-1
2019-01-15T15:30:00+02:00,-0.7,38.9,18.7,-0.9
2019-01-15T15:35:00+02:00,-0.7,34.6,18.8,-1
2019-01-15T15:40:00+02:00,-0.7,37.6,18.7,-1
2019-01-15T15:45:00+02:00,-0.8,39.2,18.7,-1
2019-01-15T15:50:00+02:00,-0.8,35.2,18.7,-1.1
2019-01-15T15:55:00+02:00,-1,38.2,18.6,-1.4
2019-01-15T16:00:00+02:00,-1.2,34.6,18.6,-2.1
2019-01-15T16:05:00+02:00,-1.3,37.9,18.5,-1.8
2019-01-15T16:10:00+02:00,-1.4,38.9,18.5,-1.9
2019-01-15T16:15:00+02:00,-1.5,33.7,18.5,-2.1
2019-01-15T16:20:00+02:00,-1.6,38.2,18.5,-2.1
2019-01-15T16:25:00+02:00,-1.7,38.6,18.5,-2.1
2019-01-15T16:30:00+02:00,-1.9,38.8,18.4,-2.9
2019-01-15T16:35:00+02:00,-2,35.4,18.4,-2.4
2019-01-15T16:40:00+02:00,-2.1,36.9,18.4,-2.4
2019-01-15T16:45:00+02:00,-2.2,38.2,18.4,-2.7
2019-01-15T16:50:00+02:00,-2.2,38.9,18.3,-3.2
2019-01-15T16:55:00+02:00,-2.3,34.6,18.4,-2.8
2019-01-15T17:00:00+02:00,-2.3,37.9,18.4,-2.7
2019-01-15T17:05:00+02:00,-2.3,38.9,18.3,-2.7
2019-01-15T17:10:00+02:00,-2.4,32.9,18.3,-3.4
2019-01-15T17:15:00+02:00,-2.5,38.3,18.3,-3.6
2019-01-15T17:20:00+02:00,-2.5,37.7,18.4,-2.9
2019-01-15T17:25:00+02:00,-2.5,38.6,18.7,-2.9
2019-01-15T17:30:00+02:00,-2.5,38.7,18.8,-3.1
2019-01-15T17:35:00+02:00,-2.6,38.9,18.8,-3.6
2019-01-15T17:40:00+02:00,-2.6,38.3,18.8,-3
2019-01-15T17:45:00+02:00,-2.7,38.9,18.7,-3.2
2019-01-15T17:50:00+02:00,-2.9,38.9,18.8,-3.4
2019-01-15T17:55:00+02:00,-3,35.7,18.8,-3.6
2019-01-15T18:00:00+02:00,-3,38.6,18.7,-3.5
2019-01-15T18:05:00+02:00,-3.1,37.1,18.7,-3.6
2019-01-15T18:10:00+02:00,-3.2,36.1,18.8,-3.6
2019-01-15T18:15:00+02:00,-3.2,37.8,18.9,-4.2
2019-01-15T18:20:00+02:00,-3.4,39.1,19,-3.8
2019-01-15T18:25:00+02:00,-3.4,38.7,19.1,-3.9
2019-01-15T18:30:00+02:00,-3.5,39.4,19.1,-3.9
2019-01-15T18:35:00+02:00,-3.4,36.4,19.1,-3.9
2019-01-15T18:40:00+02:00,-3.4,39.1,19.3,-3.8
2019-01-15T18:45:00+02:00,-3.5,35.6,19.3,-3.9
2019-01-15T18:50:00+02:00,-3.6,38.3,19.3,-4.1
2019-01-15T18:55:00+02:00,-3.8,39.4,19.3,-4.2
2019-01-15T19:00:00+02:00,-3.9,35.7,19.3,-4.4
2019-01-15T19:05:00+02:00,-4,38.4,19.4,-4.4
2019-01-15T19:10:00+02:00,-4.2,38.4,19.4,-4.6
2019-01-15T19:15:00+02:00,-4.3,49.2,19.4,-4.8
2019-01-15T19:20:00+02:00,-4.3,38.1,19.4,-4.7
2019-01-15T19:25:00+02:00,-4.4,35.9,19.3,-5.4
2019-01-15T19:30:00+02:00,-4.4,35.9,19.2,-4.7
2019-01-15T19:35:00+02:00,-4.5,37.6,19.2,-4.9
2019-01-15T19:40:00+02:00,-4.6,36.6,19.2,-5.1
2019-01-15T19:45:00+02:00,-4.6,37.6,19.2,-4.9
2019-01-15T19:50:00+02:00,-4.6,38.9,19.3,-5.1
2019-01-15T19:55:00+02:00,-4.6,39.4,19.3,-5
2019-01-15T20:00:00+02:00,-4.7,34.5,19.4,-5.2
2019-01-15T20:05:00+02:00,-4.8,39,19.4,-5.4
